,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters
0,mountain,"sigma = 0.1,tol = 0.1,grid p = 11",Euclidean,176.41432100654026,0.26936809382245314,2.5409464849850663,21.840285360070645,1.1079845465074338,0.5596792479489265,0.7513199105145414,0.4961435249037074,0.2632555673382821,11
1,mountain,"sigma = 0.1,tol = 0.2,grid p = 11",Euclidean,208.91400080288938,0.811126502202432,1.9815473007300146,22.226568353741733,1.1286256594777917,0.33848979778738497,0.8136017897091723,0.6618438225268758,0.46064215432418437,6
2,mountain,"sigma = 0.1,tol = 0.3,grid p = 11",Euclidean,208.91400080288938,0.811126502202432,1.9815473007300146,22.226568353741733,1.1286256594777917,0.33848979778738497,0.8136017897091723,0.6618438225268758,0.46064215432418437,6
3,mountain,"sigma = 0.1,tol = 0.4,grid p = 11",Euclidean,258.85476085318936,1.5237118813639117,1.671272802463018,22.271134307841507,0.9176121380959393,0.499639038624322,0.8418791946308725,0.7384693054931839,0.5802850356294537,4
4,mountain,"sigma = 0.1,tol = 0.5,grid p = 11",Euclidean,290.98512141928427,2.6933295894645006,1.3759867305022093,22.54734570777681,0.8550145442228364,0.5421291511239662,0.8622818791946308,0.8012935948829288,0.6672432432432432,3
5,mountain,"sigma = 0.1,tol = 0.6,grid p = 11",Euclidean,290.98512141928427,2.6933295894645006,1.3759867305022093,22.54734570777681,0.8550145442228364,0.5421291511239662,0.8622818791946308,0.8012935948829288,0.6672432432432432,3
6,mountain,"sigma = 0.1,tol = 0.7,grid p = 11",Euclidean,290.98512141928427,2.6933295894645006,1.3759867305022093,22.54734570777681,0.8550145442228364,0.5421291511239662,0.8622818791946308,0.8012935948829288,0.6672432432432432,3
7,mountain,"sigma = 0.1,tol = 0.8,grid p = 11",Euclidean,239.64951656677152,6.636453894554565,0.48196523459255347,23.13454953343878,0.5946493650109373,0.6300471284354711,0.7762863534675615,0.7714542762891773,0.5951417004048583,2
8,mountain,"sigma = 0.1,tol = 0.9,grid p = 11",Euclidean,239.64951656677152,6.636453894554565,0.48196523459255347,23.13454953343878,0.5946493650109373,0.6300471284354711,0.7762863534675615,0.7714542762891773,0.5951417004048583,2
9,mountain,"sigma = 0.1,tol = 1,grid p = 11",Euclidean,239.64951656677152,6.636453894554565,0.48196523459255347,23.13454953343878,0.5946493650109373,0.6300471284354711,0.7762863534675615,0.7714542762891773,0.5951417004048583,2
10,mountain,"sigma = 0.2,tol = 0.1,grid p = 11",Euclidean,216.53876407495193,2.006710939744326,1.4927752472200297,22.82182960431441,2.2224764122409866,0.41849188018479083,0.8310514541387024,0.7332636540327538,0.5781005586592178,4
11,mountain,"sigma = 0.2,tol = 0.2,grid p = 11",Euclidean,216.53876407495193,2.006710939744326,1.4927752472200297,22.82182960431441,2.2224764122409866,0.41849188018479083,0.8310514541387024,0.7332636540327538,0.5781005586592178,4
12,mountain,"sigma = 0.2,tol = 0.3,grid p = 11",Euclidean,297.97448998580046,2.708392364103546,1.3997224725478805,22.558499790723285,0.888992581246491,0.5399733065719011,0.8797315436241611,0.8237641241035158,0.6996648044692737,3
13,mountain,"sigma = 0.2,tol = 0.4,grid p = 11",Euclidean,297.97448998580046,2.708392364103546,1.3997224725478805,22.558499790723285,0.888992581246491,0.5399733065719011,0.8797315436241611,0.8237641241035158,0.6996648044692737,3
14,mountain,"sigma = 0.2,tol = 0.5,grid p = 11",Euclidean,297.97448998580046,2.708392364103546,1.3997224725478805,22.558499790723285,0.888992581246491,0.5399733065719011,0.8797315436241611,0.8237641241035158,0.6996648044692737,3
15,mountain,"sigma = 0.2,tol = 0.6,grid p = 11",Euclidean,297.97448998580046,2.708392364103546,1.3997224725478805,22.558499790723285,0.888992581246491,0.5399733065719011,0.8797315436241611,0.8237641241035158,0.6996648044692737,3
16,mountain,"sigma = 0.2,tol = 0.7,grid p = 11",Euclidean,297.97448998580046,2.708392364103546,1.3997224725478805,22.558499790723285,0.888992581246491,0.5399733065719011,0.8797315436241611,0.8237641241035158,0.6996648044692737,3
17,mountain,"sigma = 0.2,tol = 0.8,grid p = 11",Euclidean,297.97448998580046,2.708392364103546,1.3997224725478805,22.558499790723285,0.888992581246491,0.5399733065719011,0.8797315436241611,0.8237641241035158,0.6996648044692737,3
18,mountain,"sigma = 0.2,tol = 0.9,grid p = 11",Euclidean,239.64951656677152,6.636453894554565,0.48196523459255347,23.13454953343878,0.5946493650109373,0.6300471284354711,0.7762863534675615,0.7714542762891773,0.5951417004048583,2
19,mountain,"sigma = 0.2,tol = 1,grid p = 11",Euclidean,239.64951656677152,6.636453894554565,0.48196523459255347,23.13454953343878,0.5946493650109373,0.6300471284354711,0.7762863534675615,0.7714542762891773,0.5951417004048583,2
20,mountain,"sigma = 0.3,tol = 0.1,grid p = 11",Euclidean,340.4914137146843,2.828178930330791,1.5331045023558676,22.64505535417472,1.0091912015878794,0.5381559723600611,0.8859060402684564,0.8306394195437842,0.7100295656129179,3
21,mountain,"sigma = 0.3,tol = 0.2,grid p = 11",Euclidean,340.4914137146843,2.828178930330791,1.5331045023558676,22.64505535417472,1.0091912015878794,0.5381559723600611,0.8859060402684564,0.8306394195437842,0.7100295656129179,3
22,mountain,"sigma = 0.3,tol = 0.3,grid p = 11",Euclidean,340.4914137146843,2.828178930330791,1.5331045023558676,22.64505535417472,1.0091912015878794,0.5381559723600611,0.8859060402684564,0.8306394195437842,0.7100295656129179,3
