,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Number of clusters,punctuation
739,subtractive,"ra = 0.4,tol = 1",Mahalanobis,64.0893097684038,376.7056897458232,-1.1279894549601603,24.877097946192546,6.274057589134029,0.19017292804665986,2,0.5242835746803486
728,subtractive,"ra = 0.3,tol = 0.9",Mahalanobis,83.43980712521551,395.9013870198926,-0.8641415315433344,24.951649354391026,3.0011698953451083,0.18634437462783357,2,0.46779720587239754
729,subtractive,"ra = 0.3,tol = 1",Mahalanobis,83.43980712521551,395.9013870198926,-0.8641415315433344,24.951649354391026,3.0011698953451083,0.18634437462783357,2,0.46779720587239754
709,subtractive,"ra = 0.1,tol = 1",Mahalanobis,177.82706707267064,403.883612556388,-0.10745548594642147,24.9815917411281,1.0815066827955142,0.21370797510133271,2,0.4490428123024264
627,mountain,"sigma = 0.3,tol = 0.8,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
656,mountain,"sigma = 0.6,tol = 0.7,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
649,mountain,"sigma = 0.5,tol = 1,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
629,mountain,"sigma = 0.3,tol = 1,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
659,mountain,"sigma = 0.6,tol = 1,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
658,mountain,"sigma = 0.6,tol = 0.9,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
657,mountain,"sigma = 0.6,tol = 0.8,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
648,mountain,"sigma = 0.5,tol = 0.9,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
639,mountain,"sigma = 0.4,tol = 1,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
647,mountain,"sigma = 0.5,tol = 0.8,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
638,mountain,"sigma = 0.4,tol = 0.9,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
637,mountain,"sigma = 0.4,tol = 0.8,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
628,mountain,"sigma = 0.3,tol = 0.9,grid p = 6",Mahalanobis,124.3903180382832,318.2065726160736,-0.4648426826925621,24.623952774996933,1.5235589235451963,0.32570883045452226,2,0.4332192634267326
605,mountain,"sigma = 0.1,tol = 0.6,grid p = 6",Mahalanobis,180.6636097335733,363.8624320055232,-0.09163023836002325,24.82506541126817,1.0325495825585498,0.2262839673253125,2,0.43246441281871
608,mountain,"sigma = 0.1,tol = 0.9,grid p = 6",Mahalanobis,180.6636097335733,363.8624320055232,-0.09163023836002325,24.82506541126817,1.0325495825585498,0.2262839673253125,2,0.43246441281871
606,mountain,"sigma = 0.1,tol = 0.7,grid p = 6",Mahalanobis,180.6636097335733,363.8624320055232,-0.09163023836002325,24.82506541126817,1.0325495825585498,0.2262839673253125,2,0.43246441281871
604,mountain,"sigma = 0.1,tol = 0.5,grid p = 6",Mahalanobis,180.6636097335733,363.8624320055232,-0.09163023836002325,24.82506541126817,1.0325495825585498,0.2262839673253125,2,0.43246441281871
609,mountain,"sigma = 0.1,tol = 1,grid p = 6",Mahalanobis,180.6636097335733,363.8624320055232,-0.09163023836002325,24.82506541126817,1.0325495825585498,0.2262839673253125,2,0.43246441281871
607,mountain,"sigma = 0.1,tol = 0.8,grid p = 6",Mahalanobis,180.6636097335733,363.8624320055232,-0.09163023836002325,24.82506541126817,1.0325495825585498,0.2262839673253125,2,0.43246441281871
192,subtractive,"ra = 1,tol = 0.3",Euclidean,172.3465551637354,3.9215724872011926,0.5594507571393899,19.043303465401518,7.991643068469485,0.5052800625187975,3,0.4257724439287019
190,subtractive,"ra = 1,tol = 0.1",Euclidean,172.3465551637354,3.9215724872011926,0.5594507571393899,19.043303465401518,7.991643068469485,0.5052800625187975,3,0.4257724439287019
191,subtractive,"ra = 1,tol = 0.2",Euclidean,172.3465551637354,3.9215724872011926,0.5594507571393899,19.043303465401518,7.991643068469485,0.5052800625187975,3,0.4257724439287019
500,subtractive,"ra = 0.1,tol = 0.1",Minkowski,3480.120759888247,0.019414918807984474,4.981990386916968,13.827524863388627,0.37965575587152467,0.5495937376167843,9,0.42520226388242016
718,subtractive,"ra = 0.2,tol = 0.9",Mahalanobis,130.32524860428111,315.85057162756624,-0.41823379247049025,24.612805458767035,1.4210486157789046,0.24533352614144247,2,0.4160739882978137
